frequency,monetary,last_order_date,recency,review_score,cluster
1,67.44,2018-08-10 15:19:58,68,5.0,0
1,104.37,2017-11-13 15:41:29,338,5.0,0
1,52.790000000000006,2018-01-04 22:45:07,285,5.0,0
1,137.85000000000002,2017-12-20 19:20:25,300,1.0,2
1,59.79,2018-01-23 15:30:59,267,5.0,0
1,242.54,2017-11-11 19:03:58,339,5.0,0
1,74.69999999999999,2018-07-09 16:51:25,100,4.0,0
1,82.59,2018-06-21 21:10:39,117,5.0,0
1,79.72,2018-03-26 05:31:56,205,4.0,0
1,65.87,2018-04-20 11:16:37,180,5.0,0
1,59.14,2017-11-24 22:38:00,326,5.0,0
1,159.45000000000002,2018-05-06 12:52:59,164,5.0,0
1,117.85000000000001,2017-11-21 08:25:55,330,4.0,0
1,24.0,2018-02-20 14:36:42,239,4.0,0
1,174.4,2018-02-27 21:57:30,231,5.0,0
1,212.99,2018-01-12 21:44:42,277,5.0,0
1,327.8,2017-03-11 17:51:25,584,5.0,4
1,102.64,2018-01-14 20:48:36,275,5.0,0
1,253.79000000000002,2017-07-12 10:36:01,462,5.0,4
1,34.71,2017-04-30 22:28:03,534,5.0,4
1,88.89999999999999,2018-03-19 19:37:39,211,3.0,0
1,196.0,2017-10-13 14:30:14,369,5.0,0
1,305.78000000000003,2017-04-24 22:28:44,540,4.0,4
1,66.28999999999999,2017-07-15 19:39:32,458,1.0,2
1,700.3,2018-06-10 10:53:06,129,4.0,1
1,38.89,2017-11-24 23:00:33,326,4.0,0
1,92.9,2018-05-14 17:20:48,156,5.0,0
1,201.75,2018-04-24 15:17:51,176,4.0,0
1,81.78,2017-04-26 22:15:06,538,5.0,4
1,158.01,2018-07-30 18:34:42,78,5.0,0
1,134.21,2018-04-09 23:17:14,190,5.0,0
1,130.26,2018-01-07 16:31:00,283,5.0,0
1,116.63,2017-09-15 19:40:15,396,4.0,0
1,60.0,2018-02-15 19:46:04,243,1.0,2
1,110.39999999999999,2017-11-13 20:35:48,337,5.0,0
1,114.78999999999999,2017-04-02 22:06:05,562,5.0,4
1,135.07999999999998,2017-10-02 14:57:03,380,4.0,0
1,256.5,2018-02-10 18:21:51,248,5.0,0
1,82.25,2018-08-17 15:11:21,61,5.0,0
1,118.24000000000001,2017-05-16 23:52:28,518,5.0,4
1,205.08999999999997,2018-04-01 23:33:42,198,2.0,2
1,358.53,2017-02-16 23:30:56,607,1.0,2
1,243.4,2017-11-24 16:45:54,327,5.0,0
1,217.64000000000001,2017-05-08 14:35:48,527,5.0,4
1,93.66000000000001,2017-11-18 23:03:56,332,5.0,0
1,107.78,2018-04-22 12:19:34,178,5.0,0
1,43.85,2017-11-30 13:29:07,321,5.0,0
1,50.76,2018-06-13 08:32:11,126,5.0,0
1,172.24,2017-11-20 18:19:04,330,1.0,2
1,288.32,2017-11-24 23:52:05,326,4.0,0
1,51.129999999999995,2018-06-05 15:54:44,134,5.0,0
1,57.53,2017-10-14 13:11:09,368,5.0,0
1,42.51,2017-03-06 15:45:35,590,5.0,4
1,31.130000000000003,2018-08-12 23:34:08,65,4.0,0
1,78.66,2018-07-30 23:22:22,78,5.0,0
1,198.58,2018-08-13 14:12:39,65,3.0,0
1,382.74,2018-07-24 19:52:02,84,5.0,0
1,128.6,2017-07-11 13:52:55,463,5.0,4
1,105.32,2018-07-24 14:03:52,85,5.0,0
1,54.0,2018-07-03 12:39:04,106,5.0,0
1,138.91,2017-05-11 08:39:53,524,5.0,4
1,0.0,2018-05-25 19:17:35,144,5.0,0
1,571.81,2018-03-19 14:48:23,212,3.0,1
1,113.89,2018-08-12 11:29:37,66,5.0,0
1,605.7,2017-01-30 14:07:53,625,4.0,1
1,127.11000000000001,2017-10-18 15:14:16,364,4.0,0
1,51.14,2018-02-20 15:50:52,239,5.0,0
1,100.53,2018-02-02 12:56:51,257,1.0,2
1,32.379999999999995,2018-05-29 14:51:00,141,3.0,0
1,49.839999999999996,2017-05-23 20:19:03,511,5.0,4
1,144.86,2017-12-17 17:54:00,303,5.0,0
1,22.33,2017-10-13 10:47:11,369,4.0,0
2,63.629999999999995,2017-11-28 12:46:41,323,5.0,3
1,53.269999999999996,2017-11-24 22:46:29,326,1.0,2
1,55.18,2017-09-20 16:58:40,392,1.0,2
1,163.92,2018-04-03 09:02:42,197,1.0,2
1,194.17000000000002,2017-02-08 08:09:51,616,5.0,4
1,153.47,2018-02-19 16:43:47,240,3.0,0
1,320.11,2017-10-15 13:01:43,367,5.0,0
1,44.989999999999995,2018-06-15 20:38:21,123,5.0,0
1,250.42000000000002,2018-03-01 09:16:26,230,5.0,0
1,168.20000000000002,2017-09-20 11:54:05,392,5.0,0
1,58.45,2018-06-11 16:26:48,128,4.0,0
1,53.79,2017-06-19 10:46:23,485,4.0,4
1,679.43,2017-02-13 10:20:42,611,4.0,1
1,64.67999999999999,2017-06-05 15:53:14,499,2.0,2
1,23.78,2017-12-26 13:38:48,295,5.0,0
1,75.08,2017-11-29 21:54:38,321,3.0,0
1,265.49,2017-07-12 12:45:56,462,5.0,4
1,79.38,2018-04-04 08:15:39,196,1.0,2
1,36.0,2018-01-16 16:45:04,274,5.0,0
1,22.5,2018-05-11 06:51:50,159,5.0,0
1,63.62,2018-02-03 08:34:52,256,4.0,0
1,43.28,2018-05-18 15:03:19,152,5.0,0
1,108.12,2018-08-16 22:18:07,61,4.0,0
1,134.71,2018-05-14 09:14:57,156,3.0,0
1,102.26,2018-01-08 17:18:36,282,4.0,0
1,119.19,2018-08-07 18:18:47,70,5.0,0
1,101.74,2018-03-06 13:51:22,225,5.0,0
1,28.130000000000003,2018-05-14 12:53:23,156,5.0,0
1,67.17999999999999,2018-08-27 08:56:49,51,5.0,0
1,73.06,2018-06-21 16:28:08,118,4.0,0
1,1240.85,2017-08-29 20:25:15,413,5.0,1
1,132.36,2018-03-15 22:12:35,215,4.0,0
1,92.13,2017-04-26 09:30:33,539,5.0,4
1,102.74,2018-03-16 07:38:09,215,4.0,0
1,77.16,2017-04-15 12:12:15,550,4.0,4
1,48.78,2018-07-19 17:43:55,89,5.0,0
1,77.37,2018-03-16 13:16:45,215,1.0,2
1,25.5,2017-11-26 20:12:17,324,4.0,0
1,230.25,2017-07-24 23:28:12,449,1.0,2
1,177.66,2018-08-13 16:39:08,65,5.0,0
1,40.51,2017-02-06 11:06:15,618,4.0,4
1,25.23,2018-07-23 12:18:41,86,5.0,0
1,454.8,2017-02-02 15:08:04,622,5.0,4
1,47.6,2018-02-14 09:52:07,245,3.0,0
1,217.15,2017-10-13 13:20:09,369,4.0,0
1,138.8,2018-05-28 17:57:07,141,4.0,0
1,57.29,2018-04-05 10:05:54,195,5.0,0
1,119.64,2018-08-17 19:54:09,60,3.0,0
1,157.4,2017-03-25 22:15:25,570,3.0,2
1,67.44,2018-08-02 19:45:57,75,3.0,0
1,131.44,2017-10-03 09:49:10,379,5.0,0
1,126.2,2017-07-28 16:38:35,446,5.0,4
1,152.87,2018-07-24 12:42:16,85,5.0,0
1,73.47,2017-09-25 20:06:47,386,4.0,0
1,107.3,2018-04-05 15:29:27,195,5.0,0
1,86.02000000000001,2018-02-26 16:51:20,233,4.0,0
1,16.29,2018-06-25 20:40:37,113,5.0,0
1,993.55,2018-07-16 13:30:06,93,3.0,1
1,161.37,2017-05-13 20:05:21,521,4.0,4
1,62.480000000000004,2017-12-10 00:49:25,311,5.0,0
1,102.03,2017-06-23 10:32:48,481,5.0,4
1,162.55,2017-07-26 13:30:24,448,5.0,4
2,254.51999999999998,2018-03-08 19:22:48,222,2.5,3
1,120.97,2017-04-02 14:39:00,563,5.0,4
1,192.23,2018-03-24 08:12:51,207,5.0,0
1,247.11,2017-10-14 09:38:15,368,4.0,0
1,96.8,2017-09-25 22:13:40,386,5.0,0
1,152.88,2018-08-14 22:32:04,63,5.0,0
1,37.72,2017-12-07 16:25:37,314,5.0,0
1,42.589999999999996,2017-12-05 10:36:01,316,4.0,0
1,52.68,2017-09-30 22:45:32,381,5.0,0
1,111.93,2018-06-02 14:19:39,137,5.0,0
2,435.14,2018-04-27 17:43:13,172,5.0,3
1,33.93,2018-08-22 20:38:11,55,5.0,0
1,122.17,2017-07-23 19:11:15,450,5.0,4
